Gene_ID,Protein_Function,Locus
CA08g00300,PREDICTED: probable E3 ubiquitin-protein ligase ARI8-like%2C partial [Oryza brachyantha],Pepper1.55ch08:836371-837898
CA08g00310,PH4,Pepper1.55ch08:841983-844206
CA08g00320,Protein binding protein%2C putative,Pepper1.55ch08:849806-850670
CA08g00330,Calcium ion binding [Theobroma cacao],Pepper1.55ch08:869338-872922
CA08g00340,Detected protein of unknown function,Pepper1.55ch08:873474-875942
CA08g00350,Hcr9-OR2A,Pepper1.55ch08:907101-908025
CA08g00360,Hcr9-Avr4-per1,Pepper1.55ch08:908498-909164
CA08g00370,NL0E,Pepper1.55ch08:934891-936485
CA08g00380,PREDICTED: receptor-like protein 12-like [Solanum lycopersicum],Pepper1.55ch08:982106-983654
CA08g00390,Hcr9-Avr4-par1,Pepper1.55ch08:1037644-1038634
CA08g00400,Hcr9-OR2C,Pepper1.55ch08:1038741-1039281
CA08g00410,Hcr9-Avr9-hir4,Pepper1.55ch08:1042278-1042959
CA08g00420,Hcr9-Avr4-par1,Pepper1.55ch08:1050199-1052215
CA08g00430,Hcr9-OR2A,Pepper1.55ch08:1054420-1054945
CA08g00440,PREDICTED: receptor-like protein 12-like [Solanum tuberosum],Pepper1.55ch08:1072175-1072732
CA08g00450,Hcr9-OR2A,Pepper1.55ch08:1076050-1078055
CA08g00460,Hcr9-OR2C,Pepper1.55ch08:1080827-1085016
CA08g00470,Hcr9-OR3A,Pepper1.55ch08:1099068-1099650
CA08g00480,Hcr9-0,Pepper1.55ch08:1100553-1100982
CA08g00490,Hcr9-Avr4-par1,Pepper1.55ch08:1105271-1107473
CA08g00500,Hcr9-OR2B,Pepper1.55ch08:1108889-1109657
CA08g00510,Hcr9-OR2C,Pepper1.55ch08:1112162-1119805
CA08g00520,60S acidic ribosomal protein P0,Pepper1.55ch08:1140717-1141596
CA08g00530,Hcr9-OR2A,Pepper1.55ch08:1154856-1155465
CA08g00540,Hcr9-Avr4-per1,Pepper1.55ch08:1168289-1170032
CA08g00550,26S proteasome regulatory particle non-ATPase subunit 8,Pepper1.55ch08:1172228-1178889
CA08g00560,PREDICTED: pre-mRNA branch site p14-like protein-like [Glycine max],Pepper1.55ch08:1180335-1182410
CA08g00570,Putative L19 ribosomal protein,Pepper1.55ch08:1184776-1186538
CA08g00580,Biotin carboxylase,Pepper1.55ch08:1212079-1220411
CA08g00590,phenylalanyl-tRNA synthetase beta chain family protein [Populus trichocarpa],Pepper1.55ch08:1221440-1235069
CA08g00600,Dihydroorotate dehydrogenase,Pepper1.55ch08:1244893-1250639
CA08g00610,Putative phosphotyrosyl phosphatase activator protein,Pepper1.55ch08:1256339-1259933
CA08g00620,PREDICTED: probable prefoldin subunit 5-like [Solanum lycopersicum],Pepper1.55ch08:1263807-1267214
CA08g00630,PREDICTED: thioredoxin X%2C chloroplastic-like [Solanum lycopersicum],Pepper1.55ch08:1276020-1282083
CA08g00640,Putative monosaccharide transporter 1,Pepper1.55ch08:1285866-1291272
CA08g00650,TCP transcription factor 14,Pepper1.55ch08:1297777-1298581
CA08g00660,Classical AGP,Pepper1.55ch08:1302839-1307464
CA08g00670,PREDICTED: INO80 complex subunit D-like [Citrus sinensis],Pepper1.55ch08:1310330-1311273
CA08g00680,Detected protein of unknown function,Pepper1.55ch08:1318176-1318650
CA08g00690,Succinyl-CoA ligase [ADP-forming] subunit alpha-1%2C mitochondrial,Pepper1.55ch08:1320623-1326349
CA08g00700,PREDICTED: F-box protein At1g70590-like [Solanum tuberosum],Pepper1.55ch08:1329859-1333525
CA08g00710,Alanine-2-oxoglutarate aminotransferase 1,Pepper1.55ch08:1336864-1337965
CA08g00720,Alanine aminotransferase%2C putative,Pepper1.55ch08:1337991-1341076
CA08g00730,PREDICTED: putative late blight resistance protein homolog R1A-10-like [Solanum lycopersicum],Pepper1.55ch08:1348729-1351381
CA08g00740,PREDICTED: peroxidase 39-like [Solanum tuberosum],Pepper1.55ch08:1353744-1355400
CA08g00750,ATP binding protein%2C putative,Pepper1.55ch08:1364673-1365030
CA08g00760,Lipase,Pepper1.55ch08:1377770-1383570
CA08g00770,PREDICTED: cysteine-rich receptor-like protein kinase 2-like [Solanum lycopersicum],Pepper1.55ch08:1389662-1391792
CA08g00780,PREDICTED: cysteine-rich receptor-like protein kinase 2-like [Solanum lycopersicum],Pepper1.55ch08:1391806-1392372
CA08g00790,PREDICTED: cysteine-rich receptor-like protein kinase 2-like [Solanum lycopersicum],Pepper1.55ch08:1394965-1396881
CA08g00800,PREDICTED: cysteine-rich receptor-like protein kinase 2-like%2C partial [Solanum tuberosum],Pepper1.55ch08:1396917-1397501
CA08g00810,PREDICTED: cysteine-rich receptor-like protein kinase 2-like [Solanum lycopersicum],Pepper1.55ch08:1400290-1402844
CA08g00820,PREDICTED: cysteine-rich receptor-like protein kinase 2-like [Solanum lycopersicum],Pepper1.55ch08:1407558-1410190
CA08g00830,PREDICTED: ADP-ribosylation factor 2-like isoform 1 [Cucumis sativus],Pepper1.55ch08:1413584-1416670
CA08g00840,PREDICTED: ADP-ribosylation factor 2-like isoform 1 [Cucumis sativus],Pepper1.55ch08:1420702-1424136
CA08g00850,Global transcription factor group,Pepper1.55ch08:1424422-1424995
CA08g00860,Detected protein of unknown function,Pepper1.55ch08:1428238-1432127
CA08g00870,Nucleoside transporter%2C putative,Pepper1.55ch08:1433013-1436405
CA08g00880,F-box family protein,Pepper1.55ch08:1443970-1445233
CA08g00890,Detected protein of unknown function,Pepper1.55ch08:1446494-1448651
CA08g00900,Detected protein of unknown function,Pepper1.55ch08:1454350-1459632
CA08g00910,Detected protein of unknown function,Pepper1.55ch08:1463851-1469255
CA08g00920,PREDICTED: 40S ribosomal protein S27-2-like isoform 2 [Solanum lycopersicum],Pepper1.55ch08:1515463-1518756
CA08g00930,Transferases%2C transferring glycosyl groups [Theobroma cacao],Pepper1.55ch08:1520570-1524740
CA08g00940,Obtusifoliol-14-demethylase,Pepper1.55ch08:1532940-1535830
CA08g00950,Transcription cofactor%2C putative,Pepper1.55ch08:1537143-1552420
CA08g00960,Electron transporter%2C putative,Pepper1.55ch08:1561260-1562364
CA08g00970,Electron transporter%2C putative,Pepper1.55ch08:1567036-1572067
CA08g00980,Leucine-rich repeat receptor-like protein kinase (Fragment),Pepper1.55ch08:1577001-1580046
CA08g00990,Tetratricopeptide repeat-containing protein,Pepper1.55ch08:1593103-1594018
CA08g01000,PREDICTED: zinc finger CCCH domain-containing protein 17-like [Solanum lycopersicum],Pepper1.55ch08:1602950-1609894
CA08g01010,DNA binding protein%2C putative,Pepper1.55ch08:1611879-1615195
CA08g01020,Tobamovirus multiplication 3,Pepper1.55ch08:1625516-1629020
CA08g01030,Zinc finger protein%2C putative,Pepper1.55ch08:1657992-1664067
CA08g01040,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:1968065-1969892
CA08g01050,Detected protein of unknown function,Pepper1.55ch08:1974443-1979040
CA08g01060,PREDICTED: defensin J1-2-like [Cucumis sativus],Pepper1.55ch08:1980174-1980333
CA08g01070,Glutamate decarboxylase%2C putative,Pepper1.55ch08:2014981-2021888
CA08g01080,PREDICTED: lipid transfer-like protein VAS-like [Glycine max],Pepper1.55ch08:2024829-2025219
CA08g01090,Detected protein of confused Function,Pepper1.55ch08:2058087-2063800
CA08g01100,plasmalemma Na+/H+ antiporter [Solanum lycopersicum],Pepper1.55ch08:2085959-2097856
CA08g01110,Protein kinase%2C putative,Pepper1.55ch08:2106983-2110160
CA08g01120,PREDICTED: putative phagocytic receptor 1b-like [Solanum tuberosum],Pepper1.55ch08:2117194-2121331
CA08g01130,Nucleic acid binding protein%2C putative,Pepper1.55ch08:2143680-2148646
CA08g01140,Hcr9-OR2A,Pepper1.55ch08:2161267-2169378
CA08g01150,Hcr9-OR2B,Pepper1.55ch08:2175842-2176949
CA08g01160,Serine/threonine-protein kinase,Pepper1.55ch08:2182752-2187571
CA08g01170,Serine/threonine-protein kinase,Pepper1.55ch08:2187633-2188623
CA08g01180,PREDICTED: putative clathrin assembly protein At1g25240-like [Solanum tuberosum],Pepper1.55ch08:2193123-2193885
CA08g01190,PLE%2C putative,Pepper1.55ch08:2198940-2203727
CA08g01200,PREDICTED: type I inositol 1%2C4%2C5-trisphosphate 5-phosphatase CVP2-like [Citrus sinensis],Pepper1.55ch08:2220111-2225671
CA08g01210,Oxidoreductase%2C putative,Pepper1.55ch08:2233509-2237461
CA08g01220,PREDICTED: dolichol-phosphate mannosyltransferase subunit 3-like isoform 1 [Solanum lycopersicum],Pepper1.55ch08:2250168-2250646
CA08g01230,Endoxyloglucan transferase,Pepper1.55ch08:2253830-2258870
CA08g01240,C2H2L domain class transcription factor,Pepper1.55ch08:2287872-2288622
CA08g01250,PREDICTED: protein OBERON 3-like [Solanum tuberosum],Pepper1.55ch08:2298711-2299409
CA08g01260,Cytochrome B561%2C putative,Pepper1.55ch08:2305316-2311486
CA08g01270,CMPG1b,Pepper1.55ch08:2325424-2326834
CA08g01280,Clathrin assembly protein%2C putative,Pepper1.55ch08:2333198-2334806
CA08g01290,Binding [Theobroma cacao],Pepper1.55ch08:2340958-2341234
CA08g01300,PREDICTED: zinc finger protein 3-like [Solanum lycopersicum],Pepper1.55ch08:2346754-2347669
CA08g01310,PREDICTED: zinc finger protein 3-like [Solanum lycopersicum],Pepper1.55ch08:2349765-2350668
CA08g01320,Trehalose-6-phosphate synthase,Pepper1.55ch08:2364384-2367950
CA08g01330,PREDICTED: MACPF domain-containing protein At1g14780-like [Citrus sinensis],Pepper1.55ch08:2376468-2384698
CA08g01340,Loganic acid methyltransferase,Pepper1.55ch08:2387335-2387956
CA08g01350,PREDICTED: probable S-adenosylmethionine-dependent methyltransferase At5g38780-like [Solanum lycopersicum],Pepper1.55ch08:2392957-2393332
CA08g01360,Aspartokinase,Pepper1.55ch08:2400998-2406302
CA08g01370,Aspartate-semialdehyde dehydrogenase%2C putative,Pepper1.55ch08:2461139-2463401
CA08g01380,PREDICTED: SEC14 cytosolic factor-like [Solanum lycopersicum],Pepper1.55ch08:2470086-2475368
CA08g01390,PREDICTED: SEC14 cytosolic factor-like [Solanum lycopersicum],Pepper1.55ch08:2477022-2481788
CA08g01400,Disease resistance protein BS2,Pepper1.55ch08:2491013-2492151
CA08g01410,PREDICTED: putative late blight resistance protein homolog R1A-4-like [Solanum tuberosum],Pepper1.55ch08:2502704-2505400
CA08g01420,NBS-coding resistance gene analog (Fragment),Pepper1.55ch08:2512463-2514640
CA08g01430,PREDICTED: putative late blight resistance protein homolog R1A-10-like [Solanum tuberosum],Pepper1.55ch08:2516155-2518828
CA08g01440,PREDICTED: putative late blight resistance protein homolog R1A-10-like [Solanum tuberosum],Pepper1.55ch08:2519897-2522552
CA08g01450,Flavin-binding%2C kelch repeat%2C f-box 1/adagio3,Pepper1.55ch08:2593710-2598759
CA08g01460,Dynamin%2C putative,Pepper1.55ch08:2600208-2612099
CA08g01470,Detected protein of unknown function,Pepper1.55ch08:2613704-2616567
CA08g01480,PREDICTED: microtubule-associated protein 70-2-like [Solanum lycopersicum],Pepper1.55ch08:2622896-2624240
CA08g01490,PREDICTED: microtubule-associated protein 70-2-like [Solanum lycopersicum],Pepper1.55ch08:2624278-2628828
CA08g01500,Ankyrin repeat-containing protein%2C putative,Pepper1.55ch08:2665373-2672994
CA08g01510,PREDICTED: probable S-adenosylmethionine-dependent methyltransferase At5g38100-like [Solanum tuberosum],Pepper1.55ch08:3231687-3232197
CA08g01520,PREDICTED: probable S-adenosylmethionine-dependent methyltransferase At5g38100-like [Solanum tuberosum],Pepper1.55ch08:3232200-3233228
CA08g01530,DNA binding protein%2C putative,Pepper1.55ch08:3319386-3320271
CA08g01540,Oxoglutarate/malate translocator,Pepper1.55ch08:3327403-3331152
CA08g01550,F-box family protein,Pepper1.55ch08:3332981-3334511
CA08g01560,F-box family protein,Pepper1.55ch08:3336978-3339225
CA08g01570,Disulfide isomerase-related protein,Pepper1.55ch08:3341888-3345269
CA08g01580,At1g55340,Pepper1.55ch08:3357650-3359456
CA08g01590,Isocitrate dehydrogenase [NADP],Pepper1.55ch08:3360395-3365179
CA08g01600,Detected protein of unknown function,Pepper1.55ch08:3372319-3374645
CA08g01610,Lysine--tRNA ligase,Pepper1.55ch08:3387885-3399426
CA08g01620,Receptor like protein 46,Pepper1.55ch08:3404773-3407209
CA08g01630,Protein binding protein%2C putative,Pepper1.55ch08:3407860-3410216
CA08g01640,PREDICTED: L-ascorbate oxidase homolog [Solanum tuberosum],Pepper1.55ch08:3413873-3415550
CA08g01650,Importin beta-3%2C putative,Pepper1.55ch08:3416943-3418239
CA08g01660,Methylthioribose-1-phosphate isomerase,Pepper1.55ch08:3513940-3516944
CA08g01670,JHL06P13.3 protein,Pepper1.55ch08:4019896-4027015
CA08g01680,Hypothetical chloroplast RF2,Pepper1.55ch08:4195766-4196129
CA08g01690,Transcription factor%2C putative,Pepper1.55ch08:4640794-4644075
CA08g01700,PREDICTED: protein TIFY 5A-like [Solanum tuberosum],Pepper1.55ch08:6655232-6656588
CA08g01710,Detected protein of unknown function,Pepper1.55ch08:6804833-6805650
CA08g01720,Detected protein of unknown function,Pepper1.55ch08:6808912-6809260
CA08g01730,ribosomal protein L22 (chloroplast) [Capsicum annuum],Pepper1.55ch08:7492666-7493119
CA08g01740,ribosomal protein S19 [Nicotiana tabacum],Pepper1.55ch08:7493177-7493387
CA08g01750,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:7888021-7890729
CA08g01760,MLO-like protein,Pepper1.55ch08:9160495-9166728
CA08g01770,PREDICTED: rab GDP dissociation inhibitor alpha-like [Solanum lycopersicum],Pepper1.55ch08:9168493-9174828
CA08g01780,MLO-like protein,Pepper1.55ch08:9297040-9299909
CA08g01790,Transporter%2C putative,Pepper1.55ch08:10074442-10076476
CA08g01800,PREDICTED: probable methionine--tRNA ligase-like [Solanum lycopersicum],Pepper1.55ch08:10279473-10279992
CA08g01810,Integrase core domain containing protein,Pepper1.55ch08:10347378-10347921
CA08g01820,Os08g0544300 [Oryza sativa] Japonica Group,Pepper1.55ch08:10349698-10350583
CA08g01830,PREDICTED: serine/threonine-protein kinase HT1-like isoform X1 [Solanum tuberosum],Pepper1.55ch08:10405452-10405937
CA08g01840,Unknown protein,Pepper1.55ch08:11287147-11287387
CA08g01850,Calcyclin-binding protein%2C putative,Pepper1.55ch08:11290739-11291891
CA08g01860,P-protein subunit of glycine decarboxylase enzyme complex [Populus trichocarpa],Pepper1.55ch08:11808385-11815247
CA08g01870,Detected protein of unknown function,Pepper1.55ch08:11835558-11835984
CA08g01880,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch08:12957009-12961391
CA08g01890,Bell-like homeodomain protein 4 (Fragment),Pepper1.55ch08:14368442-14370653
CA08g01900,Ubiquitin-protein ligase BRE1A%2C putative,Pepper1.55ch08:14449433-14451626
CA08g01910,Copper-transporting atpase paa1%2C putative,Pepper1.55ch08:15204527-15216312
CA08g01920,PREDICTED: LOW QUALITY PROTEIN: putative ribonuclease H protein At1g65750-like [Vitis vinifera],Pepper1.55ch08:15938183-15938549
CA08g01930,Protein brittle-1,Pepper1.55ch08:15940754-15941522
CA08g01940,Na(+)/H(+) antiporter%2C putative,Pepper1.55ch08:16732010-16735329
CA08g01950,Detected protein of unknown function,Pepper1.55ch08:17809297-17810579
CA08g01960,PREDICTED: kirola-like [Solanum tuberosum],Pepper1.55ch08:18369607-18369955
CA08g01970,Fizzy-related protein-like protein,Pepper1.55ch08:18396673-18397483
CA08g01980,NBS-coding resistance gene protein (Fragment),Pepper1.55ch08:18401002-18401323
CA08g01990,Putative disease resistance protein%2C identical,Pepper1.55ch08:18401334-18403086
CA08g02000,NBS-LRR protein,Pepper1.55ch08:18405464-18409447
CA08g02010,fruit-specific protein [Solanum lycopersicum],Pepper1.55ch08:18469558-18469810
CA08g02020,Detected protein of unknown function,Pepper1.55ch08:18480436-18481111
CA08g02030,Ankyrin repeat-containing protein%2C putative,Pepper1.55ch08:18486752-18487376
CA08g02040,Amino acid transporter%2C putative,Pepper1.55ch08:18524683-18526138
CA08g02050,Alternative oxidase,Pepper1.55ch08:18563193-18565055
CA08g02060,Polyribonucleotide nucleotidyltransferase%2C putative,Pepper1.55ch08:18638326-18640972
CA08g02070,Profilin 1 isoform 1 [Theobroma cacao],Pepper1.55ch08:18770059-18772806
CA08g02080,PREDICTED: 6-phosphofructokinase 3-like [Solanum tuberosum],Pepper1.55ch08:18940808-18957134
CA08g02090,Serine/threonine-protein kinase%2C putative,Pepper1.55ch08:18958580-18961654
CA08g02100,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Citrus sinensis],Pepper1.55ch08:18994531-18994789
CA08g02110,PREDICTED: cytosolic Fe-S cluster assembly factor NARFL-like [Cucumis sativus],Pepper1.55ch08:19076238-19085787
CA08g02120,Detected protein of unknown function,Pepper1.55ch08:19406861-19408184
CA08g02130,Cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [Theobroma cacao],Pepper1.55ch08:19436784-19437120
CA08g02140,Tetratricopeptide repeat-like superfamily protein isoform 3%2C partial [Theobroma cacao],Pepper1.55ch08:19453434-19455300
CA08g02150,ATLCB1,Pepper1.55ch08:19561638-19572460
CA08g02160,Putative DNA helicase homolog,Pepper1.55ch08:19696687-19697488
CA08g02170,Detected protein of unknown function,Pepper1.55ch08:19703843-19704385
CA08g02180,Detected protein of unknown function,Pepper1.55ch08:19882188-19882743
CA08g02190,Detected protein of unknown function,Pepper1.55ch08:20441630-20446901
CA08g02200,Detected protein of unknown function,Pepper1.55ch08:20458623-20459479
CA08g02210,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch08:20462665-20463644
CA08g02220,AT5g11700/T22P22_90,Pepper1.55ch08:20481878-20482421
CA08g02230,RNA-directed DNA polymerase (Reverse transcriptase),Pepper1.55ch08:20667519-20668458
CA08g02240,Endonuclease/exonuclease/phosphatase,Pepper1.55ch08:20669374-20669761
CA08g02250,RNA polymerase sigma factor rpoD%2C putative,Pepper1.55ch08:20804429-20807215
CA08g02260,PREDICTED: putative nuclease HARBI1-like [Glycine max],Pepper1.55ch08:22034222-22035364
CA08g02270,PREDICTED: UPF0480 protein At4g32130 [Vitis vinifera],Pepper1.55ch08:22049325-22056836
CA08g02280,PREDICTED: putative receptor-like protein kinase At1g72540-like [Cicer arietinum],Pepper1.55ch08:23065667-23067125
CA08g02290,Protein kinase APK1A%2C chloroplast%2C putative,Pepper1.55ch08:23067213-23067729
CA08g02300,PREDICTED: glutaredoxin-C6-like [Solanum tuberosum],Pepper1.55ch08:23919323-23919740
CA08g02310,PREDICTED: pollen-specific protein SF3-like [Solanum lycopersicum],Pepper1.55ch08:23959353-23959539
